Item No.,Category,Item Description,Acceptance Criteria,Inspected (Y/N/NA),Inspector Initials,Deficiency Noted,Corrective Action Required
1,Lifting Gear,"All rigging hardware — hooks, shackles, slings","No cracks, deformation, or >10% capacity reduction",,,,
2,Lifting Gear,Chain fall / come-along annual tag current,Tag date within 12 months,,,,
3,Lifting Gear,Spreader bars — load rating legible,"Rating visible, no damage",,,,
4,Welding,Welding machine — input/output connections tight,"No exposed wire, no arcing",,,,
5,Welding,Leads and cables — no cuts or abrasion exceeding 10%,Full insulation maintained,,,,
6,Welding,Electrode holder/stinger insulation intact,"No cracks, no bare metal",,,,
7,Welding,"Ground clamp — clean, firm contact","No loose bolts, no corrosion at jaw",,,,
8,PPE,"Hard hats — no cracks, no painted surface","ANSI Z89.1 compliant, <5 years old",,,,
9,PPE,Fall protection harness — last inspection tag current,Annual inspection within 12 months,,,,
10,PPE,Safety glasses / face shields — no scratching,"Clear lens, no pits, no crazing",,,,
11,NDE,UT / PAUT instrument — calibration current,Calibration sticker within 12 months,,,,
12,NDE,Reference blocks — traceable calibration,"Cert on file, no surface damage",,,,
13,Consumables,Welding electrodes — stored in dry rod oven,Oven set to manufacturer temperature,,,,
14,Consumables,Shielding gas cylinders — valve caps installed in transport,"Caps in place, chain secured",,,,
